"name","type","id","date_established","detail_page_url","acreage"
"Chequamegon-Nicolet","forest","chequamegonnicolet","1933-03-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Chequamegon-Nicolet_National_Forest",1523704
"Cherokee","forest","cherokee","1920-06-14T05:00:00.000Z","https://en.wikipedia.org/wiki/Cherokee_National_Forest",656394
"Chippewa","forest","chippewa","1908-05-23T05:00:00.000Z","https://en.wikipedia.org/wiki/Chippewa_National_Forest",671952
"Chugach","forest","chugach","1907-07-23T05:00:00.000Z","https://en.wikipedia.org/wiki/Chugach_National_Forest",5419095
"Cibola","forest","cibola","1906-11-06T06:00:00.000Z","https://en.wikipedia.org/wiki/Cibola_National_Forest",1616435
"Cleveland","forest","cleveland","1893-02-25T06:00:00.000Z","https://en.wikipedia.org/wiki/Cleveland_National_Forest",425580
"Coconino","forest","coconino","1898-08-17T05:00:00.000Z","https://en.wikipedia.org/wiki/Coconino_National_Forest",1852201
"Colville","forest","colville","1907-03-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Colville_National_Forest",954668
"Coronado","forest","coronado","1902-04-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Coronado_National_Forest",1718945
"Daniel Boone","forest","danielboone","1937-02-23T06:00:00.000Z","https://en.wikipedia.org/wiki/Daniel_Boone_National_Forest",564168
"Deschutes","forest","deschutes","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Deschutes_National_Forest",1612218
"Dixie","forest","dixie","1905-09-25T05:00:00.000Z","https://en.wikipedia.org/wiki/Dixie_National_Forest",1885655
"Eldorado","forest","eldorado","1910-07-28T05:00:00.000Z","https://en.wikipedia.org/wiki/Eldorado_National_Forest",695098
"Fishlake","forest","fishlake","1899-02-10T06:00:00.000Z","https://en.wikipedia.org/wiki/Fishlake_National_Forest",1452969
"Flathead","forest","flathead","1897-02-22T06:00:00.000Z","https://en.wikipedia.org/wiki/Flathead_National_Forest",2413573
"Francis Marion","forest","francismarion","1936-07-10T05:00:00.000Z","https://en.wikipedia.org/wiki/Francis_Marion_National_Forest",258673
"Fremont-Winema","forest","fremontwinema","1906-09-17T05:00:00.000Z","https://en.wikipedia.org/wiki/Fremont-Winema_National_Forest",2253796
"Gifford Pinchot","forest","giffordpinchot","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Gifford_Pinchot_National_Forest",1312274
"Gila","forest","gila","1899-03-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Gila_National_Forest",2658321
"Grand Mesa","forest","grandmesa","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Grand_Mesa_National_Forest",345939
"Green Mountain","forest","greenmountain","1932-04-25T05:00:00.000Z","https://en.wikipedia.org/wiki/Green_Mountain_National_Forest",408419
"Hiawatha","forest","hiawatha","1931-01-16T06:00:00.000Z","https://en.wikipedia.org/wiki/Hiawatha_National_Forest",898475
"Hoosier","forest","hoosier","1961-10-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Hoosier_National_Forest",203627
"Humboldt-Toiyabe","forest","humboldttoiyabe","1906-05-03T05:00:00.000Z","https://en.wikipedia.org/wiki/Humboldt-Toiyabe_National_Forest",6290945
"Huron-Manistee","forest","huronmanistee","1928-07-30T05:00:00.000Z","https://en.wikipedia.org/wiki/Huron-Manistee_National_Forests",975130
"Idaho Panhandle","forest","idahopanhandle","1906-11-06T06:00:00.000Z","https://en.wikipedia.org/wiki/Idaho_Panhandle_National_Forest",3074438
"Inyo","forest","inyo","1907-05-25T05:00:00.000Z","https://en.wikipedia.org/wiki/Inyo_National_Forest",1957264
"Kaibab","forest","kaibab","1908-07-01T05:00:00.000Z","https://en.wikipedia.org/wiki/Kaibab_National_Forest",1561060
"Kisatchie","forest","kisatchie","1930-06-10T05:00:00.000Z","https://en.wikipedia.org/wiki/Kisatchie_National_Forest",607540
"Klamath","forest","klamath","1905-05-06T05:00:00.000Z","https://en.wikipedia.org/wiki/Klamath_National_Forest",1672442
"Kootenai","forest","kootenai","1906-08-13T05:00:00.000Z","https://en.wikipedia.org/wiki/Kootenai_National_Forest",1810361
"Lake Tahoe Basin Management Unit","forest","laketahoebasinmanagementunit","1973-04-01T06:00:00.000Z","https://en.wikipedia.org/wiki/Lake_Tahoe_Basin_Management_Unit",152008
"Lassen","forest","lassen","1905-06-02T05:00:00.000Z","https://en.wikipedia.org/wiki/Lassen_National_Forest",1066027
"Lincoln","forest","lincoln","1902-07-26T05:00:00.000Z","https://en.wikipedia.org/wiki/Lincoln_National_Forest",1095470
