"id","name","type","date_established","acreage","detail_page_url"
"san-gabriel-mountains","San Gabriel Mountains","monument","2014-10-10T05:00:00.000Z",346177,"https://en.wikipedia.org/wiki/San_Gabriel_Mountains_National_Monument"
"aniakchak","Aniakchak","monument","1978-12-01T06:00:00.000Z",2100,"https://en.wikipedia.org/wiki/Aniakchak_National_Monument_and_Preserve"
"booker-t.-washington","Booker T. Washington","monument","1956-04-02T05:00:00.000Z",198.8,"https://en.wikipedia.org/wiki/Booker_T._Washington_National_Monument"
"berryessa-snow-mountain","Berryessa Snow Mountain","monument","2015-07-10T05:00:00.000Z",330780,"https://en.wikipedia.org/wiki/Berryessa_Snow_Mountain_National_Monument"
"bears-ears","Bears Ears","monument","2016-12-28T06:00:00.000Z",201876,"https://en.wikipedia.org/wiki/Bears_Ears_National_Monument"
"birmingham-civil-rights","Birmingham Civil Rights","monument","2017-01-12T06:00:00.000Z",18.25,"https://en.wikipedia.org/wiki/Birmingham_Civil_Rights_National_Monument"
"scotts-bluff","Scotts Bluff","monument","1919-12-12T06:00:00.000Z",3005,"https://en.wikipedia.org/wiki/Scotts_Bluff_National_Monument"
"sand-to-snow","Sand to Snow","monument","2016-02-12T06:00:00.000Z",154000,"https://en.wikipedia.org/wiki/Sand_to_Snow_National_Monument"
"cabrillo","Cabrillo","monument","1913-10-14T05:00:00.000Z",143.9,"https://en.wikipedia.org/wiki/Cabrillo_National_Monument"
"belmont-paul-women's-equality","Belmont-Paul Women's Equality","monument","2016-04-12T05:00:00.000Z",0,"https://en.wikipedia.org/wiki/Belmont-Paul_Women%27s_Equality_National_Monument"
"canyon-de-chelly","Canyon de Chelly","monument","1931-04-01T05:00:00.000Z",83840,"https://en.wikipedia.org/wiki/Canyon_de_Chelly_National_Monument"
"cascade–siskiyou","Cascade–Siskiyou","monument","2000-06-09T05:00:00.000Z",86774,"https://en.wikipedia.org/wiki/Cascade%E2%80%93Siskiyou_National_Monument"
"dinosaur","Dinosaur","monument","1915-10-04T05:00:00.000Z",210844,"https://en.wikipedia.org/wiki/Dinosaur_National_Monument"
"cedar-breaks","Cedar Breaks","monument","1933-08-22T05:00:00.000Z",6155,"https://en.wikipedia.org/wiki/Cedar_Breaks_National_Monument"
"castillo-de-san-marcos","Castillo de San Marcos","monument","1924-10-15T05:00:00.000Z",320,"https://en.wikipedia.org/wiki/Castillo_de_San_Marcos"
"canyons-of-the-ancients","Canyons of the Ancients","monument","2000-06-09T05:00:00.000Z",176056,"https://en.wikipedia.org/wiki/Canyons_of_the_Ancients_National_Monument"
"craters-of-the-moon","Craters of the Moon","monument","1924-05-02T05:00:00.000Z",464303,"https://en.wikipedia.org/wiki/Craters_of_the_Moon_National_Monument_and_Preserve"
"castle-clinton","Castle Clinton","monument","1946-08-12T05:00:00.000Z",1,"https://en.wikipedia.org/wiki/Castle_Clinton"
"cesar-e.-chavez","César E. Chávez","monument","2012-10-08T05:00:00.000Z",116,"https://en.wikipedia.org/wiki/C%C3%A9sar_E._Ch%C3%A1vez_National_Monument"
"chiricahua","Chiricahua","monument","1924-04-18T05:00:00.000Z",11984,"https://en.wikipedia.org/wiki/Chiricahua_National_Monument"
"devils-postpile","Devils Postpile","monument","1911-07-06T05:00:00.000Z",798,"https://en.wikipedia.org/wiki/Devils_Postpile_National_Monument"
"colorado","Colorado","monument","1911-05-24T05:00:00.000Z",20533,"https://en.wikipedia.org/wiki/Colorado_National_Monument"
